Frequency (MHz),Full_Info
5.52,0000-2400       USA New York Radio           E   Car         bg
5.53,0000-2400       CHN BAF Beijing Meteo Fax        FE          bm
5.53,0000-2400       AFS Johannesburg HFDL (ID8)  -HF SAf         j
5.53,0000-2400       ALS Barrow HFDL (ID9)        -HF NOc         ba
5.54,0000-2400       ALS Barrow HFDL (ID9)        -HF NOc         ba
5.54,0600-1800       S   Stockholm Radio (Air)    E   NEu         gr
5.54,1800-0600       S   Stockholm Radio (Air)    E   Eu          gr
5.54,0000-2400       ALS Barrow HFDL (ID9)        -HF NOc         ba
5.54,0000-2400       BHR Al Muharraq HFDL (ID15)  -HF ME          m
5.55,0000-2400       IRL Shannon HFDL (ID7)       -HF NAO         s
5.55,0000-2400       USA San Francisco Radio CEP  E   EOc         dx
5.55,0000-2400       TRD Piarco Radio CAR-B       E   Car
5.55,0000-2400       USA New York Radio           E   Car         bg
5.56,0000-2400       IRL Shannon Aeradio J        E   NAO         s
5.57,0000-2400       PNG Lae Aero                 E   WOc         ln
5.57,0000-2400       SEN Dakar Radio              E   WAf         y
5.57,0000-2400       IRL Shannon Aeradio I        E   NAO         s
5.57,0000-2400       RUS AstrakhanAero Serioshka  R   EEu         an
5.57,0000-2400       RUS Elista Aero Triol        R   EEu         el
5.57,0000-2400       RUS Krasnodar Aero Tyurik    R   EEu         k1
5.57,0000-2400       RUS Maykop Aero Atlantida3   R   EEu         mp
5.57,0000-2400       RUS Makhachkala Aero Ridan   R   EEu         mk
5.57,0000-2400       RUS MinVody Aero Shpora      R   EEu         mi
5.57,0000-2400       RUS MinVody Aero Ubezhische  R   EEu         mi
5.57,0000-2400       RUS Mozdok Aero Assistent    R   EEu         mz
5.57,0000-2400       RUS Nalchik Aero Tosno       R   EEu         nc
5.57,0000-2400       RUS Rostov Aero Shpora       R   EEu         rv
5.57,0000-2400       RUS Sochi Aero Shtat         R   EEu         so
5.57,0000-2400       RUS Stavropol Aero Tom       R   EEu         s2
5.57,0000-2400       RUS Vladikavkaz Aero Stavok  R   EEu         vz
5.57,0000-2400       RUS Volgograd Aero Avrora    R   EEu         vo
5.57,0000-2400       USA San Francisco Radio CEP  E   EOc         dx
5.58,0000-2400       IRL Shannon Aeradio J        E   NAO         s
5.58,0000-2400       IRL Shannon Aeradio H        E   NAO         s
5.58,0000-2400       NZL Auckland HFDL (ID5)      -HF SOc         a
5.59,0000-2400       PNR Albrook HFDL (ID11)      -HF CAm         al
5.6,0000-2400       RUS Kotlas Aero              R   NEu         kt
5.6,0000-2400       RUS Syktyvkar Aero Sivkar    R   RUS         sy
5.6,0000-2400       AZR Santa Maria Radio A      E   NAO         sm
5.6,0000-2400       CAN Gander Radio A           E   NAO         g
5.6,0000-2400       IRL Shannon Aeradio A        E   NAO         s
5.6,0000-2400       USA New York Radio           E   NAO         bg
5.6,0000-2400       ARG Ezeiza Volmet x01        S   SAm         e
5.62,0000-2400       CAN Gander Radio B           E   NAO         g
5.62,0000-2400       IRL Shannon Aeradio B        E   NAO         s
5.62,0000-2400       ISL Iceland Radio B          E   NAO
5.63,0000-2400       USA San Francisco Radio NP   E   NOc         /ALS-ba
5.63,0000-2400       USA San Francisco Radio NP   E   NOc         /HWA-m
5.64,0000-2400       ROU Bucuresti Aero           RO  Eu          b
5.64,0000-2400       AUS Brisbane Radio           E   Oc          ae
5.64,0000-2400       FJI Nadi Radio               E   Oc          n
5.64,0000-2400       MAU Mauritius Radio          E   EAf
5.64,0000-2400       NZL Auckland Radio           E   Oc          a
5.64,0000-2400       OCE Tahiti Radio             E   Oc          fa
5.64,0000-2400       PAQ Isla de Pascua Radio     E   Oc
5.64,0000-2400       USA San Francisco Radio CWP  E   WOc         /HWA-m
5.64,0000-2400       USA San Francisco Radio SP   E   Oc          /HWA-m
5.65,0000-2400       CAN Gander Radio C           E   NAO         g
5.65,0000-2400       IRL Shannon Aeradio C        E   NAO         s
5.65,0000-2400       ISL Iceland Radio C          E   NAO
5.65,"0400-1430       RUS Khanty-Mansiysk Volmet   E,R RUS         km"
5.65,0000-2400       USA Riverhead HFDL (ID4)     -HF ENA         rh
5.65,0000-2400       USA San Francisco Radio CWP  E   WOc         /GUM-b
5.66,0000-2400       THA Hat Yai HFDL (ID6)       -HF SEA         hy
5.67,"0000-2400 LSB   CHN Beijing Volmet x15,x45   E   FE"
5.67,"0800-2345 USB   CHN Guangzhou Volmet x00,30  E   FE"
5.68,0000-2400       XUU Search and Rescue Coord  E
5.69,0000-2400       RUS Nadym Aero               R   RUS         ny
5.69,0000-2400       RUS Novy Urengoy Aero        R   RUS         nu
5.69,0000-2400       RUS Vladikavkaz Aero Stavok  R   EEu         vz
5.69,"0000-2400       RUS Irkutsk Volmet x25,x55   R   Sib         iv"
5.7,0000-2400       F   FUO French Navy USB/FSK  F   Eu          to
5.71,0000-2400       F   FUE French Navy USB/FSK  F   NAO         br
5.72,0000-2400       PTR NAU US Navy              -TY NAm         i
5.72,0000-2400       ISL Reykjavik HFDL (ID3)     -HF NAO         r
5.74,"2000-2010 Th,Su POL E11 Polish Spy Numbers   E               p"
5.75,0000-2400       RUS RIT Northern Fleet       -CW NEu         sm
5.75,1100-1730       AUS VMW Wiluna Met Fax           Oc          w
5.75,1800-1845       AUS VMW Wiluna Met Fax           Oc          w
5.75,1915-2045       AUS VMW Wiluna Met Fax           Oc          w
5.76,0000-2400 spur  B   Rdio Voz Missionria    P   B           cb
5.8,0130-0200       SVK Radio Slovakia Int.      E   LAm         /USA-o
5.8,0100-0130       TWN Radio Taiwan Int.        S   LAm         /USA-o
5.8,0200-0300       USA WRMI Radio Miami Int.    E   LAm         o
5.8,0300-0400 Tu-We USA WRMI Radio Miami Int.    E   LAm         o
5.8,0000-2400       CAN VFF Iqaluit Radio        E   NAm         cb
5.8,0000-2400       CAN VFF Iqaluit Radio        E   NAm         hr
5.8,0000-2400       CAN VFF Iqaluit Radio        E   NAm         in
5.8,0000-2400       RUS Air Force Bear Net       R   RUS         m
5.83,2200-0100       CHL R.Triunfal Evanglica    S   CHL         t
5.83,0000-2400       RUS Air Force Bear Net       -CW RUS         m
5.84,1900-0400 irr   RUS Russkoye Piratskoye R.   R   EEu         k
5.85,2300-2330       CZE Radio Prague             F   WNA         /USA-o
5.85,2330-2400       CZE Radio Prague             E   WNA         /USA-o
5.85,0630-0700       D   Deutche Welle            E   WNA         /USA-o
5.85,0000-0030       SVK Radio Slovakia Int.      SK  WNA         /USA-o
5.85,0030-0100       SVK Radio Slovakia Int.      E   WNA         /USA-o
5.85,0300-0330       SVK Radio Slovakia Int.          WNA         /USA-o
5.85,0330-0400       SVK Radio Slovakia Int.          WNA         /USA-o
5.85,1130-1200       SVK Radio Slovakia Int.      E   WNA         /USA-o
5.85,2200-2230       SVK Radio Slovakia Int.      E   WNA         /USA-o
5.85,0100-1300       USA WRMI Radio Miami Int.    E   WNA         o
5.85,1100-1130       USA WRMI Radio Miami Int.    M   WNA         o
5.85,2230-2300       USA WRMI Radio Miami Int.    E   WNA         o
5.86,"0000-2400       KOR HLL Seoul Meteo          K,E FE          sg"
5.88,0459-0600       G   BBC DIGITAL              E   CEu         w
5.89,"0200-0400       USA WWCR 4 Nashville, TN     E   NAm         n"
5.89,0459-2205       NOR Radio Northern Star      NO  NEu         be
5.9,0000-2400       B   Rdio Casa AM            P   B           am
5.9,1930-1945       CAN Bible Voice              A   ME          /BUL-s
5.9,1945-2000       CAN Bible Voice              A   ME          /BUL-s
5.9,1900-1930       TWN Radio Taiwan Int.        D   Eu          /BUL-s
5.9,2005-0500       USA Brother Stair            E   Eu          /BUL-s
5.91,1430-1500       ROU Radio Romania Int.       ARO SEE         s
5.91,1500-1530       ROU Radio Romania Int.       UK  UKR         s
5.91,1530-1600       ROU Radio Romania Int.       SR  SEE         s
5.91,1600-1630       ROU Radio Romania Int.       I   SEu         s
5.91,1630-1700       ROU Radio Romania Int.       ARO SEE         s
5.91,1700-1730       ROU Radio Romania Int.       UK  UKR         s
5.91,1730-1800       ROU Radio Romania Int.       SR  SEE         s
5.91,1800-1830       ROU Radio Romania DIGITAL    I   SEu         s
5.91,1830-1900       ROU Radio Romania Int.       ARO SEE         s
5.91,1900-1930       ROU Radio Romania Int.       UK  UKR         s
5.91,1930-2000       ROU Radio Romania Int.       SR  SEE         s
5.92,0230-0530       MYA Myanma Radio             BR  SEA         n
5.92,0630-1400       MYA Myanma Radio             BR  SEA         n
5.92,2315-0230       MYA Myanma Radio             BR  SEA         n
5.92,0000-0300       EQA HCJB Voice of Andes      D   CEu         /D-we
5.92,0300-0400       EQA HCJB Voice of Andes      R   CEu         /D-we
5.92,0400-2200       EQA HCJB Voice of Andes      D   CEu         /D-we
5.92,1805-1835 Mo-Fr EQA HCJB Voice of Andes      D-P CEu         /D-we
5.92,2200-2400       EQA HCJB Voice of Andes      R   CEu         /D-we
5.92,1300-1330 156   J   Shiokaze                 J   KRE         y
5.92,1300-1400 We    J   Shiokaze                 E   KRE         y
5.92,1300-1400 Su    J   Shiokaze                 J   KRE         y
5.92,"1300-1400 Tu,Th J   Shiokaze                 K   KRE         y"
5.92,1330-1400 156   J   Shiokaze                 K   KRE         y
5.92,"0102-0400       USA WTWW Lebanon, TN         E   NAm         L"
5.92,1000-1705       CHN CNR5 Cross-Strait Radio  M   TWN         B
5.92,2055-2300       CHN CNR5 Cross-Strait Radio  M   TWN         B
5.92,2300-2400       CHN CNR5 Cross-Strait Radio  M   TWN         B
5.93,0000-2400       DNK World Music Radio        E   Eu          br
5.93,0300-0600       CHN Xizang RTV               M   CHN         t
5.93,0600-0900 We-Mo CHN Xizang RTV               M   CHN         t
5.93,0900-1000 We-Mo CHN Xizang RTV               M   CHN         t
5.93,1000-1800       CHN Xizang RTV               M   CHN         t
5.93,2000-2100 We-Mo CHN Xizang RTV               M   CHN         t
5.93,2100-0300       CHN Xizang RTV               M   CHN         t
5.93,1555-1625 156   J   Shiokaze                 J   KRE         y
5.93,1555-1655 We    J   Shiokaze                 E   KRE         y
5.93,1555-1655 Su    J   Shiokaze                 J   KRE         y
5.93,"1555-1655 Tu,Th J   Shiokaze                 K   KRE         y"
5.93,1625-1655 156   J   Shiokaze                 K   KRE         y
5.93,"0000-1200       USA WWCR 2 Nashville, TN     E   NAm         n"
5.94,0000-2400       B   Rdio Voz Missionria    P   B           cb
5.94,0000-2400 irr   HOL Radio Piepzender         NL  Eu          zw
5.95,1300-1805       CHN China National Radio 1   M   CHN         b
5.95,2023-2300       CHN China National Radio 1   M   CHN         b
5.95,0300-0330       SVK Radio Slovakia Int.          ENA         /USA-o
5.95,0330-0400       SVK Radio Slovakia Int.          ENA         /USA-o
5.95,2300-0300       USA WRMI Radio Miami Int.    E   ENA         o
5.96,1100-1300       CHN China Radio Int.         E   FE          b
5.96,1300-1400       CHN China Radio Int.         E   FE          b
5.96,1400-1500       CHN China Radio Int.         E   FE          b
5.96,1500-1600       CHN China Radio Int.         E   FE          b
5.96,0000-2400       HOL Radio Veronica           NL  HOL         ov
5.96,1200-1400       CHN PBS Xinjiang             M   CHN         uc
5.96,1400-1800       CHN PBS Xinjiang             M   CHN         uc
5.96,2300-0300       CHN PBS Xinjiang             M   CHN         uc
5.96,1830-2100       TUR Voice of Turkey          TU  ME          e
5.96,1900-1950 SaSu  USA PanAmerican Broadc.      E   WEu         /F-i
5.96,2000-2035 Su    USA PanAmerican Broadc.      E   WEu         /F-i
5.96,1000-1805       CHN China National Radio 1   M   CHN         n
5.96,1400-1500       CHN China Radio Int.         K   FE          x
5.96,1500-1600       CHN China Radio Int.         R   Sib         b
5.97,0350-0650       CHN PBS Gannan               TB  CHN         he
5.97,1020-1410       CHN PBS Gannan               TB  CHN         he
5.97,2215-0100       CHN PBS Gannan               TB  CHN         he
5.97,1400-1500       G   BBC                      DR  AFG         /OMA-a
5.97,1500-1600       G   BBC                      PS  AFG         /OMA-a
5.97,1600-1630       G   BBC                      DR  AFG         /OMA-a
5.97,1630-1700 Mo-Fr G   BBC                      PS  AFG         /OMA-a
5.97,1630-1700 SaSu  G   BBC                      DR  AFG         /OMA-a
5.97,0600-0800 Th-Tu CHN China National Radio 8   K   CHN         B
5.97,0800-0900 Th-Tu CHN China National Radio 8   M   CHN         B
5.97,0900-1400       CHN China National Radio 8   K   CHN         B
5.97,1400-1505       CHN China National Radio 8   M   CHN         B
5.97,2200-2300       CHN China Radio Int.         M   SAf         b
5.98,2100-2200 We    DNK Radio OZ-Viola               Eu          h
5.98,0000-0300 irr   F   TDF DIGITAL              F   WEu         i
5.98,0300-0400 irr   F   TDF DIGITAL              F   Eu          i
5.98,0400-0500 irr   F   TDF DIGITAL              F   SEu         i
5.98,0500-0900 irr   F   TDF DIGITAL              F   NEu         i
5.98,1705-1805       J   Shiokaze                 J   KRE         y
5.99,2025-2400       CHN China National Radio 1   M   CHN         n
5.99,1130-1200       CHN China Radio Int.         TAG PHL         b
5.99,1600-1700       CHN China Radio Int.         SWA EAf         b
5.99,1700-1800       CHN China Radio Int.         SWA EAf         b
5.99,1900-2000       CHN China Radio Int.         P   SAf         b
5.99,2000-2100       CHN China Radio Int.         E   SAf         b
5.99,2200-2300 irr   F   TDF DIGITAL              F   SEu         i
5.99,1115-1530       MYA Myanma Radio             BR  SEA         y
5.99,1530-1630       MYA Myanma Radio             E   SEA         y
5.99,2300-0130       MYA Myanma Radio             BR  SEA         y
5.99,0000-0100       CHN China Radio Int.         S   Car         /CUB
5.99,0100-0200       CHN China Radio Int.         R   CAs         ka
5.99,1200-1300       CHN China Radio Int.         MO  MNG         h
5.99,1300-1400       CHN China Radio Int.         R   Sib         h
5.99,1400-1500       CHN China Radio Int.         MO  MNG         h
5.99,1500-1600       CHN China Radio Int.         R   Sib         h
5.99,2300-2400       CHN China Radio Int.         E   CAm         /CUB
5.99,0600-0855 We-Mo CHN PBS Qinghai              TB  CHN         xg
5.99,0855-1600       CHN PBS Qinghai              TB  CHN         xg
5.99,2250-0600       CHN PBS Qinghai              TB  CHN         xg
5.99,0000-2400 irr   HOL Radio Piepzender         NL  Eu          zw
5.99,1820-1920       IRN IRIB Voice of I.R.Iran   AL  Eu          s
6.0,1600-1700       CHN China Radio Int.         R   CAs         ka
6.0,2055-2400       CHN CNR 2 China Business R.  M   CHN         n
6.0,0700-0300       KRE Noise Jammer                 KRE
6.0,0555-0800       MLI Radio Mali               BM  WAf         k
6.0,0630-0645       MLI Radio Mali               F   WAf         k
6.0,1800-0001       MLI Radio Mali               BM  WAf         k
6.0,1850-1905 Sa    MLI Radio Mali               E   WAf         k
6.0,1100-1805       CHN China National Radio 1   M   CHN         b
6.0,2023-2330       CHN China National Radio 1   M   CHN         b
6.0,0000-0600       CUB Radio Habana Cuba        E   ENA         q
6.0,1100-1300       CUB Radio Habana Cuba        S   CNA         q
6.0,1300-1400       CUB Radio Habana Cuba        S   CNA         q
6.0,2300-2400 Mo-Fr CUB Radio Habana Cuba        S   ENA         q
6.0,0050-0220       IRN IRIB Voice of I.R.Iran   TJ  CAs         s
6.0,1000-1700       D   Shortwave Service Kall       CEu         k
6.0,1900-1930       TWN Radio Taiwan Int.        F   Eu          /BUL-s
6.01,0000-2400       B   Rdio Inconfidncia      P   B           c
6.01,1300-1605       CHN China National Radio 11  TB  CHN         as
6.01,2155-2300       CHN China National Radio 11  M   CHN         as
6.01,2300-2400       CHN China National Radio 11  TB  CHN         as
6.01,1155-1800       CHN PBS Xinjiang             KZ  CHN         uc
6.01,2300-0350       CHN PBS Xinjiang             KZ  CHN         uc
6.01,0350-1400       KOR KBS Hanminjok            K   FE          h
6.01,1400-2400       KOR KBS Hanminjok            K   FE          h
6.01,0350-2400       KRE Noise Jammer                 KRE
6.02,2230-0200 irr   CLM Organ.Radial El Prado    S   CLM
6.02,1900-2000       CHN China Radio Int.         AL  SEE         s
6.02,2000-2100       CHN China Radio Int.         PO  Eu          s
6.02,0500-1100 SaSu  HOL Radio Casanova           NL  Eu          w
6.03,2300-2400       CHN China National Radio 11  TB  CHN         t
6.03,0000-0200       CHN Xizang RTV               TB  CHN         t
6.03,0200-0700       CHN Xizang RTV               TB  CHN         t
6.03,0700-0800 We-Mo CHN Xizang RTV               E   CHN         t
6.03,0800-1000 We-Mo CHN Xizang RTV               TB  CHN         t
6.03,1000-1600       CHN Xizang RTV               TB  CHN         t
6.03,1600-1700       CHN Xizang RTV               E   CHN         t
6.03,1700-1805       CHN Xizang RTV               TB  CHN         t
6.03,2050-2300       CHN Xizang RTV               TB  CHN         t
6.03,0600-0900 We-Mo CHN CNR1 DIGITAL             M   CHN         b
6.03,0900-1805       CHN CNR1 DIGITAL             M   CHN         b
6.03,2025-0600       CHN CNR1 DIGITAL             M   CHN         b
6.03,1100-1605       CHN CNR 2 China Business R.  M   CHN         n
6.03,0253-2015       ETH Radio Oromiya            OO  EAf         j
6.03,0000-1200       USA Radio Marti              S   CUB         g
6.04,0946-1000       CHN Yunnan Radio Int.        -MX CHN         kl
6.04,1000-1030       CHN Yunnan Radio Int.        VN  CHN         kl
6.04,1030-1200       CHN Yunnan Radio Int.        M   CHN         kl
6.04,1200-1300       CHN Yunnan Radio Int.        M   CHN         kl
6.04,1300-1330       CHN Yunnan Radio Int.        VN  CHN         kl
6.04,1330-1500       CHN Yunnan Radio Int.        M   CHN         kl
6.04,1800-1830 Th-Su S   IBRA Radio               TIG EAf         /UAE
6.04,0500-0600       ALG Ifrikya FM               A   WAf         o
6.04,0300-0400       CHN China National Radio 8   MO  CHN         hh
6.04,1400-1500       CHN China Radio Int.         M   SEA         x
6.04,2055-2300       CHN CNR 2 China Business R.  M   CHN         B
6.04,0400-0600       CHN PBS Nei Menggu           MO  CHN         hh
6.04,0600-0950 We-Mo CHN PBS Nei Menggu           MO  CHN         hh
6.04,0950-1605       CHN PBS Nei Menggu           MO  CHN         hh
6.04,2150-0300       CHN PBS Nei Menggu           MO  CHN         hh
6.04,0400-0600       TUR Voice of Turkey          TU  ME          e
6.04,2300-2400       CHN China National Radio     M   CHN         qq
6.04,1000-1400 irr   D   Telstar Radio                Eu          n
6.04,1100-1400 irr   D   Radio 60                     Eu          n
6.05,1200-1300       CHN China Radio Int.         MO  MNG         h
6.05,1300-1400       CHN China Radio Int.         R   Sib         h
6.05,0300-0600       CHN Xizang RTV               M   CHN         t
6.05,0600-0900 We-Mo CHN Xizang RTV               M   CHN         t
6.05,0900-1000 We-Mo CHN Xizang RTV               M   CHN         t
6.05,1000-1800       CHN Xizang RTV               M   CHN         t
6.05,2000-2100 We-Mo CHN Xizang RTV               M   CHN         t
6.05,2100-0300       CHN Xizang RTV               M   CHN         t
6.05,0000-0030       EQA HCJB Voice of Andes      COF SAm         c
6.05,0030-0100       EQA HCJB Voice of Andes      WAO SAm         c
6.05,0100-0130 Su-Mo EQA HCJB Voice of Andes      Q   SAm         c
6.05,0100-0130 Tu-Sa EQA HCJB Voice of Andes      S   SAm         c
6.05,0130-0235       EQA HCJB Voice of Andes      Q   SAm         c
6.05,0235-0500       EQA HCJB Voice of Andes      S   SAm         c
6.05,0923-1100       EQA HCJB Voice of Andes      Q   SAm         c
6.05,1100-1403       EQA HCJB Voice of Andes      S   SAm         c
6.05,2100-2130       EQA HCJB Voice of Andes      S   SAm         c
6.05,2130-2200       EQA HCJB Voice of Andes      CHA SAm         c
6.05,2200-2330       EQA HCJB Voice of Andes      Q   SAm         c
6.05,2330-2400       EQA HCJB Voice of Andes      SUA SAm         c
6.05,0555-1000       LBR ELWA Radio               E   WAf
6.05,1700-2232       LBR ELWA Radio               E   WAf
6.05,1400-1500       CHN China Radio Int.         KH  SEA         n
6.05,1030-1100 SaSu  D   Evang.Missionsgemeinden  D   Eu          n
6.05,1100-1300 SaSu  DNK Radio OZ-Viola               Eu          h
6.05,0000-0750       J   Radio Nikkei 1           J   FE          c
6.05,0750-1500       J   Radio Nikkei 1           J   FE          c
6.05,1430-1450 We    J   Radio Nikkei 1           E   FE          c
6.05,1500-1530 Fr    J   Radio Nikkei 1           J   FE          c
6.05,2200-2300 Su-Th J   Radio Nikkei 1           J   FE          c
6.05,2300-2400 Su-Th J   Radio Nikkei 1           J   FE          c
6.06,1600-1700       CHN China Radio Int.         E   SEA         k
6.06,1700-1800       CHN China Radio Int.         E   SEA         k
6.06,1000-1100       CHN Sichuan Ethnic Radio     YI  CHN         c
6.06,1100-1130       CHN Sichuan Ethnic Radio     KHA CHN         c
6.06,1130-1200       CHN Sichuan Ethnic Radio     AMD CHN         c
6.06,1200-1515       CHN Sichuan Ethnic Radio     KHA CHN         c
6.06,2155-2300       CHN Sichuan Ethnic Radio     M   CHN         c
6.06,2300-2330       CHN Sichuan Ethnic Radio     AMD CHN         c
6.06,2330-0130       CHN Sichuan Ethnic Radio     KHA CHN         c
6.06,1700-2300 Fr-Su HOL Radio Casanova           NL  Eu          w
6.07,1200-1605       CHN CNR 2 China Business R.  M   CHN         B
6.07,2055-2230       CHN CNR 2 China Business R.  M   CHN         B
6.07,0300-0400       USA Adventist World Radio    MSY MDG         /MDG
6.07,1500-1600       USA Adventist World Radio    MSY MDG         /MDG
6.07,"0000-2400       CAN CFRX Toronto, CFRB 1010  E   NAm         t"
6.07,"0000-2400       D   Channel 292              D,E Eu          r"
6.07,0900-1300       KRE Voice of Korea           J   J           k
6.08,1400-1700       CHN China National Radio 1   M   FE          qq
6.08,2200-2400       CHN China National Radio 1   M   FE          b
6.08,0000-0100       CHN China Radio Int.         E   SAs         ka
6.08,1400-1500       TWN Radio Taiwan Int.        M   CHN         k
6.08,1500-1600       TWN Radio Taiwan Int.        M   CHN         k
6.08,1600-1700       TWN Radio Taiwan Int.        M   CHN         k
6.08,2200-2400       TWN Radio Taiwan Int.        M   CHN         k
6.08,1100-1805       CHN China National Radio 1   M   CHN         q
6.08,2023-2400       CHN China National Radio 1   M   CHN         q
6.08,0935-1430       CHN PBS Hulun Buir           MO  CHN         ha
6.08,2150-0230       CHN PBS Hulun Buir           MO  CHN         ha
6.08,0000-0300 irr   F   TDF DIGITAL              F   SEu         i
6.08,1500-1600       CHN China Radio Int.         R   Sib         h
6.08,0700-1700       D   Shortwave Service Kall       CEu         k
6.09,1900-1930       CHN China Radio Int.         RO  EEu         u
6.09,1930-2000       CHN China Radio Int.         RO  EEu         u
6.09,1100-1605       CHN CNR 2 China Business R.  M   CHN         q
6.09,2055-0100       CHN CNR 2 China Business R.  M   CHN         q
6.09,0252-2100       ETH Amhara State Radio       AH  EAf         j
6.09,1705-1805       J   Shiokaze                 J   KRE         y
6.09,2000-2100       KOR KBS World Radio          A   NAf         /G-w
6.09,1100-1200 2.Su  D   SM Radio Dessau          D   Eu          n
6.09,0800-0900 1.Su  D   Welle 370                D   Eu          n
6.09,1300-1400 irr   D   Welle 370                D   Eu          n
6.09,0000-2400       FIN Radio Ambience           FI  NEu         lp
6.09,0800-1600 irr   HOL Mighty KBC               NL  Eu          /D-n
6.09,1130-1230       KOR KBS World Radio          M   CHN         k
6.09,1230-1330       KOR KBS World Radio          M   CHN         k
6.1,1200-1300       CHN China Radio Int.         R   Sib         b
6.1,1300-1400       CHN China Radio Int.         MO  MNG         u
6.1,1500-1600       CHN China Radio Int.         R   CAs         ka
6.1,1600-1700       CHN China Radio Int.         HI  SAs         ka
6.1,2000-2200       CHN China Radio Int.         A   NAf         x
6.1,1700-1900 irr   F   TDF DIGITAL              F   SEu         i
6.1,1950-1800       KRE KCBS Pyongyang           K   KRE         k
6.1,1700-1730       SWZ Trans World Radio        YAO MOZ
6.1,0030-0100       XUU Unknown Station          BR  SEA         /UAE
6.11,1000-1230       CHN China National Radio 1   M   CHN         qq
6.11,1300-1400       CHN China National Radio 1   M   CHN         qq
6.11,2200-2400       CHN China National Radio 1   M   CHN         qq
6.11,1400-1500       CHN China Radio Int.         MO  MNG         h
6.11,0200-0400       J   NHK Radio Japan          J   CAm         /F-i
6.11,0900-1000       TWN Radio Taiwan Int.        HK  FE          k
6.11,1000-1100       TWN Radio Taiwan Int.        M   FE          k
6.11,1100-1200       TWN Radio Taiwan Int.        M   FE          k
6.11,1200-1230       TWN Radio Taiwan Int.        CA  FE          k
6.11,1230-1300       TWN Radio Taiwan Int.        HK  FE          k
6.11,1300-1400       TWN Radio Taiwan Int.        M   FE          k
6.11,2200-2400       TWN Radio Taiwan Int.        M   FE          k
6.11,2300-2400       CHN China National Radio 11  TB  CHN         t
6.11,1900-2000       CHN China Radio Int.         R   CAs         x
6.11,0000-0200       CHN Xizang RTV               TB  CHN         t
6.11,0200-0700       CHN Xizang RTV               TB  CHN         t
6.11,0700-0800 We-Mo CHN Xizang RTV               E   CHN         t
6.11,0800-1000 We-Mo CHN Xizang RTV               TB  CHN         t
6.11,1000-1600       CHN Xizang RTV               TB  CHN         t
6.11,1600-1700       CHN Xizang RTV               E   CHN         t
6.11,1700-1805       CHN Xizang RTV               TB  CHN         t
6.11,2050-2300       CHN Xizang RTV               TB  CHN         t
6.11,1600-1630       CLA Furusato no Kaze         J   KRE         /TWN-s
6.11,1700-1730       CLA Furusato no Kaze         J   KRE         /TWN-s
6.11,1500-1530       CLA Nippon no Kaze           K   KRE         /TWN-s
6.11,1530-1600       CLA Nippon no Kaze           K   KRE         /TWN-s
6.11,1630-1700       CLA Nippon no Kaze           K   KRE         /TWN-s
6.11,0255-2101       ETH Fana Broadcasting Corp.  AH  EAf         j
6.12,0000-2400 spur  B   Rdio Voz Missionria    P   B           cb
6.12,1600-1800 irr   COG Radio Congo              KT  CAf         b
6.12,1800-1900 irr   COG Radio Congo              F   CAf         b
6.12,1000-1200 SaSu  D   Radio SE-TA2             D   Eu          ge
6.12,0000-0800 SaSu  J   Radio Nikkei 2           J   FE          c
6.12,0000-1000 Mo-Fr J   Radio Nikkei 2           J   FE          c
6.12,2300-2400 Su-Th J   Radio Nikkei 2           J   FE          c
6.12,0200-0300       CHN PBS Xinjiang             UI  CHN         uc
6.12,1200-1400       CHN PBS Xinjiang             UI  CHN         uc
6.12,1400-1800       CHN PBS Xinjiang             UI  CHN         uc
6.12,2300-0200       CHN PBS Xinjiang             UI  CHN         uc
6.12,1900-2100 irr   F   TDF DIGITAL              F   WEu         i
6.12,1000-1805       CHN China National Radio 1   M   CHN         b
6.12,1100-1805       CHN China National Radio 1   M   CHN         s
6.12,2023-2300       CHN China National Radio 1   M   CHN         b
6.12,2023-2300       CHN China National Radio 1   M   CHN         s
6.13,2300-2400       CHN China National Radio 11  TB  CHN         t
6.13,0000-0200       CHN Xizang RTV               TB  CHN         t
6.13,0200-0700       CHN Xizang RTV               TB  CHN         t
6.13,0700-0800 We-Mo CHN Xizang RTV               E   CHN         t
6.13,0800-1000 We-Mo CHN Xizang RTV               TB  CHN         t
6.13,1000-1600       CHN Xizang RTV               TB  CHN         t
6.13,1600-1700       CHN Xizang RTV               E   CHN         t
6.13,1700-1805       CHN Xizang RTV               TB  CHN         t
6.13,2050-2300       CHN Xizang RTV               TB  CHN         t
6.13,0000-2400       HOL Radio Europe             NL  WEu         a
6.13,0000-2400 irr   B   Rdio Scalla FM          P   B           xx
6.13,0529-0600       G   BBC                      HA  WAf         /ASC
6.14,1800-1900 Mo-Sa BEL Radio Augusta Int.       E   WEu         /LUX-j
6.14,1700-2200       BEL Radio Onda               F   Eu          /LUX-j
6.14,1700-1800       CHN China Radio Int.         E   SAs         ka
6.14,2200-2300       CHN China Radio Int.         M   SEA         k
6.14,2300-2400       CHN China Radio Int.         CA  SEA         k
6.14,1950-1400       KRE KCBS DIGITAL             K   KRE         p
6.14,0600-2100       SUI Radio Gloria             D   Eu          /LUX-j
6.14,1400-1700       CHN China National Radio 1   M   CHN         a
6.14,0600-0900 We-Mo CHN PBS Qinghai              M   CHN         xg
6.14,0900-1600       CHN PBS Qinghai              M   CHN         xg
