Frequency (MHz),Full_Info
0.6,0000-0100       CHN China Radio Int.         VN  SEA         d
0.6,0400-0600       CHN China Radio Int.         VN  SEA         d
0.6,1100-1200       CHN China Radio Int.         CA  SEA         d
0.6,1200-1300       CHN China Radio Int.         VN  SEA         d
0.6,1300-1400       CHN China Radio Int.         VN  SEA         d
0.6,1400-1500       CHN China Radio Int.         VN  SEA         d
0.6,1500-1600       CHN China Radio Int.         VN  SEA         d
0.6,1600-1700       CHN China Radio Int.         VN  SEA         d
0.6,2300-2400       CHN China Radio Int.         VN  SEA         d
0.6,1100-1200 Mo-Sa ROU Radio Bukarest           D   ROU
0.61,1425-1455 Mo-Th IND Trans World Radio        UI  CAs         /KGZ
0.61,0420-1520       IRN IRIB Voice of I.R.Iran   A   ME          q
0.61,1455-1545       USA Trans World Radio        KZ  CAs         /KGZ
0.61,1545-1600       USA Trans World Radio        R   CAs         /KGZ
0.61,1600-1630 Mo-Sa USA Trans World Radio        R   CAs         /KGZ
0.61,1600-1630 Su    USA Trans World Radio        UZ  CAs         /KGZ
0.61,1630-1700       USA Trans World Radio        UZ  CAs         /KGZ
0.61,1700-1715 Fr-Su USA Trans World Radio        KZ  CAs         /KGZ
0.61,1715-1730 Fr-Su USA Trans World Radio        KG  CAs         /KGZ
0.62,0700-0900       KRE Voice of Korea           J   J           c
0.62,0900-1300       KRE Voice of Korea           J   J           c
0.62,2000-2050       KRE Voice of Korea KCBS      K   FE          c
0.62,2100-2400       KRE Voice of Korea           J   J           c
0.63,1000-1100       ROU Radio Temeswar           D   ROU
0.64,0600-0700       G   BBC                      E   ME          /CYP
0.64,0700-0730       G   BBC                      A   ME          /CYP
0.64,1300-1400       G   BBC                      A   ME          /CYP
0.64,1400-1430 Mo-Fr G   BBC                      A   ME          /CYP
0.64,1400-1430 SaSu  G   BBC                      E   ME          /CYP
0.64,1430-1500       G   BBC                      E   ME          /CYP
0.64,1500-1530       G   BBC                      A   ME          /CYP
0.64,1530-1700       G   BBC                      E   ME          /CYP
0.64,1700-1730       G   BBC                      A   ME          /CYP
0.64,1730-1800       G   BBC                      E   ME          /CYP
0.64,1800-1900       G   BBC                      A   ME          /CYP
0.64,1900-1930 Mo-Fr G   BBC                      A   ME          /CYP
0.64,1900-1930 SaSu  G   BBC                      E   ME          /CYP
0.64,0420-0520       IRN IRIB Voice of I.R.Iran   KU  ME          bb
0.64,1320-1420       IRN IRIB Voice of I.R.Iran   KU  ME          bb
0.64,1420-1620       IRN IRIB Voice of I.R.Iran   KU  ME          bb
0.64,1820-1920       IRN IRIB Voice of I.R.Iran   TU  ME          bb
0.68,0000-0100       CHN China National Radio 6   AM  TWN         pt
0.68,0100-0200       CHN China National Radio 6   AM  TWN         pt
0.68,0200-0500       CHN China National Radio 6   AM  TWN         pt
0.68,0500-0600       CHN China National Radio 6   HK  TWN         pt
0.68,0600-0900 Th-Tu CHN China National Radio 6   HK  TWN         pt
0.68,0900-1100       CHN China National Radio 6   HK  TWN         pt
0.68,1100-1200       CHN China National Radio 6   M   TWN         pt
0.68,1200-1605       CHN China National Radio 6   M   TWN         pt
0.68,2155-2400       CHN China National Radio 6   AM  TWN         pt
0.68,0000-0100       CHN China Radio Int.         KH  SEA         d
0.68,0400-0600       CHN China Radio Int.         VN  SEA         d
0.68,1030-1130       CHN China Radio Int.         KH  SEA         d
0.68,1200-1300       CHN China Radio Int.         E   SEA         d
0.68,1300-1400       CHN China Radio Int.         VN  SEA         d
0.68,1400-1500       CHN China Radio Int.         KH  SEA         d
0.68,1500-1600       CHN China Radio Int.         VN  SEA         d
0.68,1600-1700       CHN China Radio Int.         VN  SEA         d
0.68,2300-2400       CHN China Radio Int.         KH  SEA         d
0.69,0000-2400       B   Rdio Clube do Par      P   B           be
0.69,1900-1930       ALG R.Algiers Int.           E   NAf         r
0.69,1930-2000       ALG R.Algiers Int.           S   NAf         r
0.69,2000-2200       ALG R.Algiers Int.           A   NAf         r
0.69,2200-2300       ALG R.Algiers Int.           F   NAf         r
0.7,"0000-2400       USA WLW Cincinnati, OH       E   USA         ci"
0.7,0050-0520       IRN IRIB Voice of I.R.Iran   AZ  Cau         ki
0.7,0520-0920       IRN IRIB Voice of I.R.Iran   TU  ME          ki
0.7,0920-1020       IRN IRIB Voice of I.R.Iran   TAL Cau         ki
0.7,1420-1650       IRN IRIB Voice of I.R.Iran   AZ  Cau         ki
0.7,1720-1820       IRN IRIB Voice of I.R.Iran   TAL Cau         ki
0.7,1820-1920       IRN IRIB Voice of I.R.Iran   TU  ME          ki
0.7,1920-2020       IRN IRIB Voice of I.R.Iran   AR  Cau         ki
0.72,0600-0630       G   BBC                      A   ME          /CYP
0.72,0630-0700       G   BBC                      E   ME          /CYP
0.72,0700-0730       G   BBC                      A   ME          /CYP
0.72,1300-1400       G   BBC                      A   ME          /CYP
0.72,1400-1430 Mo-Fr G   BBC                      A   ME          /CYP
0.72,1400-1430 SaSu  G   BBC                      E   ME          /CYP
0.72,1430-1500       G   BBC                      E   ME          /CYP
0.72,1500-1530       G   BBC                      A   ME          /CYP
0.72,1530-1700       G   BBC                      E   ME          /CYP
0.72,1700-1730       G   BBC                      A   ME          /CYP
0.72,1730-1800       G   BBC                      E   ME          /CYP
0.72,1800-1900       G   BBC                      A   ME          /CYP
0.72,1900-1930 Mo-Fr G   BBC                      A   ME          /CYP
0.72,1900-1930 SaSu  G   BBC                      E   ME          /CYP
0.72,0050-0220       IRN IRIB Voice of I.R.Iran   TJ  CAs         t
0.72,0220-0320       IRN IRIB Voice of I.R.Iran   DR  AFG         t
0.72,0320-1520       IRN IRIB Voice of I.R.Iran   DR  AFG         t
0.72,1520-1720       IRN IRIB Voice of I.R.Iran   TJ  CAs         t
0.77,0000-0900       CHN CNR5 Cross-Strait Radio  M   TWN         f
0.77,0900-1000       CHN CNR5 Cross-Strait Radio  M   TWN         f
0.77,1000-1705       CHN CNR5 Cross-Strait Radio  M   TWN         f
0.77,2055-2300       CHN CNR5 Cross-Strait Radio  M   TWN         f
0.77,2300-2400       CHN CNR5 Cross-Strait Radio  M   TWN         f
0.77,0120-0220       IRN IRIB Voice of I.R.Iran   UR  SAs         c
0.77,0220-1250       IRN IRIB Voice of I.R.Iran   A   ME          c
0.77,1250-1420       IRN IRIB Voice of I.R.Iran   UR  SAs         c
0.77,1420-1520       IRN IRIB Voice of I.R.Iran   HI  SAs         c
0.77,1520-1620       IRN IRIB Voice of I.R.Iran   UR  SAs         c
0.77,1620-0120       IRN IRIB Voice of I.R.Iran   A   ME          c
0.78,1900-1930       ALG R.Algiers Int.           E   NAf         r
0.78,1930-2000       ALG R.Algiers Int.           S   NAf         r
